breed,prop1,prop2,prop3
Affenpinscher,Hip & Joint,Aller Inmune,Skin & Coat
Aidi (Perro del Atlas),Hip & Joint,Aller Inmune,Probiotic
Alano Español,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Airedale Terrier,Hip & Joint,Aller Inmune,Probiotic
Akita Inu,Hip & Joint,Aller Inmune,Shampoo Sensitive Skin
Akita Americano,Hip & Joint,Shampoo sensitive Skin,Skin & Coat
American Bully,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Alaskan Malamute,Hip & Joint,Shampoo Itchy Dog,Skin & Coat
Alaskan Klee Kai,Hip & Joint,Skin & Coat,Probiotic
American Pit Bull Terrier,Shampoo Itchy Dog,Hip & Joint,Aller Inmune
American Staffordshire,Shampoo Itchy Dog,Hip & Joint,Aller Inmune
Australian Silky Terrier,Hip & Joint,Shampoo Itchy Dog,Probiotic
Azawakh,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basenji,Aller inmune,Hip & Joint,Calming
Barbet,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basset Alpino,Hip & Joint,Probiotic,Shampoo Sensitive Skin
Basset Artesiano de Normandia,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basset Azul de Gascuña,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basset Leonado de Bretaña,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basset Hound,Hip & Joint,Shampoo Sensitive Skin,Probiotic
Beagle,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Beagle-Harrier,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Bedlington Terrier,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Bergamasco,Hip & Joint,Skin & Coat,Probiotic
Bichon Boloñes (Bolognese),Shampoo Itchy Dog,Hip & Joint,Probiotic
Bichon de pelo Frisado,Shampoo Itchy Dog,Hip & Joint,Probiotic
Bichon Habanero,Hip & Joint,Aller Inmune,Shampoo Sensitive Skin
Bloodhound,Hip & Joint,Shampoo sensitive Skin,Aller Inmune
Bobtail,Hip & Joint,Skin & Coat,Aller Inmune
Border Collie,Hip & Joint,Aller Inmune,Probiotic
Bóxer,Aller Inmune,Hip & Joint,Probiotic
Boston Terrier,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Borzoi,Hip & Joint,Skin & Coat,Probiotic
Boyero de Appenzell,Hip & Joint,Probiotic,Shampoo Sensitive Skin
Boyero de Berna,Hip & Joint,Aller Inmune,Probiotic
Boyero de Flandes,Hip & Joint,Skin & Coat,Probiotic
Boyero de Entlebuch,Hip & Joint,Skin & Coat,Probiotic
Braco Aleman de Pelo Corto,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Braco Frances,Hip & Joint,Shampoo sensitive Skin,Probiotic
Buhund Noruego,Hip & Joint,Skin & Coat,Probiotic
Bullmastiff,Hip & Joint,Wrinkle Balm,Probiotic
Bull Terrier,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Bulldog Francés,Shampoo Itchy Dog,Wrinkle Balm,Snout Soother
Bulldog Inglés,Hip & Joint,Aller Inmune,Wrinkle Balm
Cavalier King Charles Spaniel,Shampoo Itchy Dog,Hip & Joint,Calming
Cazador de Alce Noruego,Hip & Joint,Skin & Coat,Probiotic
Cesky Terrier,Hip & Joint,Skin & Coat,Shampoo Sensitive Skin
Cimarron Uruguayo,Hip & Joint,Probiotic,Shampoo Sensitive Skin
Chihuahua,Hip & Joint,Shampoo Itchy Dog,Calming
Chin Japones,Hip & Joint,Shampoo sensitive Skin,Skin & Coat
Chow Chow,Hip & Joint,Shampoo sensitive Skin,Skin & Coat
Cirneco del Etna,Hip & Joint,Shampoo sensitive Skin,Calming
Cobrador de Pelo Liso,Hip & Joint,Shampoo Itchy Dog,Skin & Coat
Cocker Spaniel,Skin and Coat,Shampoo sensitive Skin,Hip & Joint
Cocher Spaniel Americano,Aller inmune,Hip & Joint,Probiotic
Collie,Hip & Joint,Shampoo sensitive Skin,Calming
Collie de pelo corto,Hip & Joint,Shampoo sensitive Skin,Calming
Corgi Galés de Cárdigan,Hip & Joint,Aller Inmune,Shampoo Sensitive Skin
Crestado Chino,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Dandie Dinmont Terrier,Aller inmune,Hip & Joint,Calming
Dálmata,Shampoo sensitive skin,Shampoo Itchy Dog,Aller Inmune
Doberman,Hip & Joint,Shampoo sensitive Skin,Aller Inmune
Dogo Aleman,Hip & Joint,Shampoo Itchy Dog,Probiotic
Dogo Argentino,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Dogo de Burdeos (Dogue des Bordeaux),Hip & Joint,Aller Inmune,Probiotic
Dogo Mallorquín,Hip & Joint,Aller Inmune,Probiotic
Esquimal Canadiense,Hip & Joint,Skin & Coat,Calming
Eurasier,Hip & Joint,Skin & Coat,Probiotic
Fila Brasileño,Hip & Joint,Skin & Coat,Probiotic
Fox Terrier,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Foxhound Americano,Hip & Joint,Skin & Coat,Probiotic
Galgo Húngaro,Hip & Joint,Shampoo sensitive Skin,Probiotic
Galgo Inglés,Hip & Joint,Skin & Coat,Calming
Galgo Italiano,Hip & Joint,Shampoo sensitive Skin,Probiotic
Glen of Imaal Terrier,Hip & Joint,Shampoo sensitive Skin,Probiotic
Golden Retriever,Hip & Joint,Aller Inmune,Probiotic
Gran Danés,Hip & Joint,Shampoo sensitive Skin,Probiotic
Gran Pirineo,Hip & Joint,Skin & Coat,Probiotic
Greyhound,Hip & Joint,Shampoo Itchy Dog,Calming
Grifon Belga,Skin and Coat,Probiotic,Calming
Hovawart,Hip & Joint,Shampoo sensitive Skin,Calming
Huskey Siberiano,Hip & Joint,Skin & Coat,Calming
Jack Russell Terrier,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Keeshond (Wolfspitz),Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Kerry Blue Terrier,Hip & Joint,Shampoo sensitive Skin,Skin and Coat
Komondor,Hip & Joint,Skin & Coat,Probiotic
Kuvasz,Hip & Joint,Skin & Coat,Probiotic
Labrador Retriever,Hip & Joint,Aller Inmune,Probiotic
Laika de Siberia Oriental,Hip & Joint,Skin & Coat,Probiotic
Lebrel Afgano,Skin and Coat,Shampoo sensitive Skin,Probiotic
Lebrel Escosés,Hip & Joint,Aller Inmune,Probiotic
Lebrel Polaco,Hip & Joint,Shampoo sensitive Skin,Probiotic
Leonberger,Hip & Joint,Skin & Coat,Probiotic
Lobero Irlandés,Hip & Joint,Shampoo sensitive Skin,Probiotic
Lobo de Saarloos,Hip & Joint,Skin & Coat,Calming
